State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.21436	1.21027	1.21104	1.21232	1.20976	1.20631	1.20516	1.20555	1.21142	1.21986	1.24018	1.24760	1.26383	1.27060	1.27674	1.28543	1.29144	1.30716	1.32173	1.33183	1.34090
2	0.45166	0.45325	0.45496	0.45758	0.46009	0.46253	0.46632	0.46827	0.47126	0.47474	0.47798	0.48036	0.48335	0.48616	0.48952	0.49374	0.49648	0.49917	0.50088	0.50345	0.50613
3	3.32192	3.32996	3.32639	3.32192	3.30227	3.28619	3.25715	3.22633	3.19015	3.15889	3.12673	3.06732	3.00434	2.95654	2.89847	2.83549	2.76983	2.70640	2.64878	2.58312	2.51121
4	1.06609	1.08099	1.07437	1.04457	0.99657	0.95518	0.95684	0.95187	0.95849	0.92042	0.91048	0.86744	0.85585	0.82109	0.80454	0.79129	0.75653	0.74660	0.79295	0.81116	0.81116
5	2.26534	2.20934	2.16353	2.20425	2.10244	2.23480	2.28061	2.26025	2.30098	2.31116	2.29080	2.18898	2.03626	2.00572	1.91918	1.95990	1.92936	1.99045	2.07699	2.13808	2.26025
6	2.39056	2.42643	2.44437	2.39569	2.52636	2.57248	2.67241	2.71084	2.64422	2.70059	2.72365	2.83127	2.89532	2.93119	3.00037	2.98244	3.13105	3.03112	2.99781	2.97731	3.12592
7	1.79236	1.68431	1.81778	1.86863	1.97668	1.98304	2.02753	2.15464	2.45973	2.32625	1.84956	2.14193	2.24998	2.22456	2.35168	2.40252	2.37710	2.36439	2.34532	2.57413	2.32625
8	1.26209	1.36447	1.28716	1.30179	1.31850	1.42089	1.39164	1.46477	1.43970	1.48149	1.33313	1.29761	1.21612	1.26627	1.29134	1.28507	1.30597	1.25373	1.23701	1.28507	1.29343
9	3.21070	2.97516	3.12392	3.03095	2.93177	2.90698	2.93177	2.88219	2.86979	2.73343	2.94417	3.01235	3.10533	3.09293	2.90078	2.90078	2.75822	2.86979	2.96896	2.79541	2.91938
10	4.84375	4.73983	4.57818	4.49735	4.56663	4.32415	4.12786	4.00663	3.81034	3.63137	3.47549	3.47549	3.38312	3.40044	3.55054	3.58518	3.82188	3.92003	3.63137	3.51590	3.39466
