State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.67861	1.64161	1.58454	1.49971	1.38882	1.25019	1.11144	0.98860	0.90580	0.85741	0.83756	0.84106	0.88776	0.94167	0.99875	1.06102	1.11618	1.16096	1.19932	1.22210	1.24263
2	0.33733	0.33378	0.33038	0.32688	0.32364	0.31885	0.31281	0.30624	0.30128	0.29826	0.29486	0.29502	0.29594	0.29955	0.30446	0.30888	0.31254	0.31631	0.32036	0.32343	0.32537
3	0.83061	0.76990	0.70643	0.63981	0.58383	0.54401	0.50853	0.48055	0.46320	0.46005	0.45847	0.46990	0.48685	0.50341	0.51918	0.56018	0.63311	0.73087	0.85781	0.99657	1.13533
4	1.72689	1.54719	1.27253	1.00955	0.79478	0.61362	0.53180	0.51719	0.50843	0.48067	0.48797	0.48797	0.49235	0.53034	0.59170	0.77871	1.36165	2.15935	3.03594	3.81319	4.50570
5	6.23594	6.20000	6.15507	5.66087	4.49275	3.36058	2.26435	1.56348	1.27145	1.57696	1.68928	1.30290	1.40623	2.08464	3.63014	7.44000	11.95522	15.25290	16.57377	16.78043	16.15594
6	3.42360	3.47561	3.63616	3.51632	3.26531	2.78366	2.36758	1.89723	1.61457	1.48567	1.33190	1.32060	1.37939	1.50376	1.70276	2.10074	2.52813	2.76104	2.82210	2.85602	2.89220
7	4.01632	4.33605	4.54360	4.96430	5.29525	5.32330	5.40744	4.86333	3.83121	2.77103	2.47374	2.33350	2.14278	2.17644	2.46252	2.63080	2.40642	2.31667	2.22692	2.18205	2.15961
8	3.78968	4.07552	4.46095	5.13774	6.02846	6.87491	7.00953	6.20918	4.96808	5.37563	5.26130	3.41717	3.21985	3.15530	3.12211	2.81414	2.44163	2.12812	1.81831	1.63759	1.44211
9	4.49109	5.15846	6.27439	8.20540	11.04993	16.22480	24.14575	35.58407	47.16462	52.83181	51.71041	42.60242	30.81400	21.05505	14.33756	9.56749	6.59714	4.74272	3.52832	2.90471	2.55461
10	7.55103	9.19168	11.26541	13.98623	17.25223	20.29914	22.23530	22.72443	21.73597	18.84701	21.90921	35.75787	44.77631	49.84090	50.26889	45.78005	37.88255	29.86786	23.48871	18.47507	14.66898
