State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	27.35706	1.03036	1.11004	1.01603	1.24031	0.83758	1.23825	0.78168
2	57.25772	0.18758	0.42873	0.76721	0.47803	0.29487	0.34205	1.27891
3	7.82812	0.72867	3.56156	2.12736	3.12616	0.45848	0.67448	0.32284
4	2.11222	0.36117	1.07048	2.18915	0.91058	0.48799	1.19531	0.24166
5	0.68687	0.88021	1.94782	2.14083	2.28594	1.68933	5.49052	0.21781
6	1.36468	0.64972	2.09310	1.38861	2.72394	1.33194	2.40209	0.37596
7	0.55014	0.99134	1.77800	1.02025	1.84976	2.47381	3.36059	0.43201
8	1.67339	4.57928	1.48246	0.76403	1.33327	5.26146	4.07887	0.66703
9	0.56413	48.39437	6.45257	1.06520	2.94448	51.71200	17.67309	0.35696
10	0.60566	29.06704	6.02570	1.96837	3.47585	21.90479	21.53298	0.21884
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
