State (Emission order)	H3k79me2	H3k36me3	H3k9me1	H3k4me1	H3k27ac	H3k9ac	H3k4me2	H3k4me3	H2az	H3k27me3
1	2.023309890215024E-4	0.00130870348354861	0.023625989602181156	0.003578295780903982	0.0034410190065608777	3.187333958683752E-4	1.9591662430972252E-4	8.680029364823735E-4	0.007816004977686449	0.02922760515460078
2	7.806547358776058E-5	7.392434462246848E-4	0.005658157014865254	4.244891995905477E-4	6.443615469061451E-4	9.143341579399096E-5	1.0898086138497854E-4	4.252637058835072E-4	4.656305742229641E-4	0.001049516538615039
3	0.019025819371915064	0.17233889322123153	0.03562611388833999	0.00412293238831304	0.008055551462224557	9.437601041632884E-4	1.9148898091326857E-4	7.360822248800307E-4	2.898524761256465E-4	2.2548954898210383E-4
4	0.6754953367307611	0.14435328028155997	0.04978997228032518	0.059064793162540194	0.007872336493149546	0.0023866779448750023	2.785508048459072E-4	0.001599292469895487	6.496519312048574E-4	3.0288737954904405E-4
5	0.9150504793576266	0.2831553366361036	0.1797915982141324	0.7199880729087718	0.2585686587223903	0.16677283522574873	0.23268570786979717	0.1269364824126685	0.03320387757233247	4.7875550162178543E-4
6	0.02322261338853805	0.06899483616868048	0.08568069022462071	0.5838239106739719	0.09735454730848159	0.016257523628647363	0.018688831708304814	0.016287183570223795	0.03524539880661891	0.004584032243259752
7	0.03522768113425287	0.05740608202142267	0.12438704048462024	0.9500249276287913	0.6709921957067613	0.365876074477445	0.37169454511992406	0.22211923446462573	0.7272899514201722	0.007191444257295839
8	0.0017571032646398943	0.003254643247084784	0.03416917863563076	0.2778832959944861	0.0225278722271035	0.01976755107440501	0.05746932670216444	0.04210149112210118	0.5523713630686732	0.007970943770127192
9	0.052606428742852665	0.004522546246663328	0.03490259492491783	0.3798191945522451	0.6396935837150367	0.7963005798699392	0.9545643216404507	0.8630141416664824	0.8293623875160707	0.003754555362651026
10	0.9652964208245091	0.1163804063157648	0.05840878447434012	0.36084785768793365	0.807267083439639	0.9603568521371342	0.9778398447916218	0.9436766985376444	0.4783386534767101	1.5738697978649044E-4
