State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9737095794363164	0.0023344754174236225	0.0	0.0	0.0	0.0066008561645040775	2.380832818705618E-4	0.016940638150232154	1.7351580315733725E-4	2.8517464958495236E-6
2	0.0011311729497133721	0.9977689028299728	5.352450381208088E-4	1.6244769869064748E-5	6.5097671725220805E-6	1.6965305849006053E-4	0.0	3.2447348311747504E-4	4.666162134112057E-5	1.136482202758391E-6
3	0.0	0.0039942811649739274	0.9752606970657877	0.008899994838875904	0.001103065560224307	0.010628597558102299	1.0240858892537186E-6	0.0	6.600085617341957E-5	4.6338869973189255E-5
4	0.0	3.941426344048965E-4	0.03299121330959289	0.9115106671703811	0.05344276257056657	1.2736566991271E-4	4.5066415584666727E-8	1.0491639563504149E-4	2.3260327714673108E-5	0.0014056268553768645
5	0.0	4.797375312660749E-4	0.012286492514952884	0.161500005719373	0.7222066098576452	0.022451902659987307	0.002141718429016089	1.62130890256288E-6	8.511093573966438E-4	0.07808080262146028
6	0.1181779519830713	0.006593001026922966	0.05353986625524321	3.784959933213624E-4	0.010158889496346062	0.7409009957074646	0.0641865955937429	5.594746844449807E-4	0.003931136182436279	0.0015735930770063896
7	0.010999601788242585	3.758831146375916E-8	8.886064972550082E-5	0.0	0.002953195816411317	0.17122463926082915	0.6394692357944847	0.12430418260885692	0.048602745443191424	0.0023575010499468584
8	0.2361193987908205	0.009704330631963567	0.0	1.0303373274402578E-4	0.0	6.792700887003746E-4	0.036836504943537726	0.6770712762415161	0.03808383080073291	0.0014023547699847298
9	0.007092293727767477	0.005002755094760366	9.677559530493718E-4	9.173863194950275E-5	0.0013436260560684297	0.010937149168229259	0.048866568819864904	0.130549559561984	0.7230188388199378	0.072129714166389
10	0.0	2.0923133568122825E-4	6.113438715104931E-4	0.005064313541408843	0.09189900783159485	0.0026696003727445378	0.002260325716370829	0.004733278345994939	0.06646887718535399	0.8260840217993402
